product_name,complaint_count
870550 M,4
983628 EB,4
9507 N,4
970505 MB,4
674580 EB,4
9625 NDEX,4
D 9576 NEK,4
CMXT 9120,4
CMB 9120 O,4
CM 8100,4
BK 9121 BT,4
D3 6101 E,4
D3 5061 B,4
BKK 2220 IC Dem Cam,4
2110 IN,4
BDT 6062,4
ADE 61531,4
7061 MB,4
3401 J,4
7080 MultiMode EB,4
TRB 2174,4
BKK 1183,4
FE 310,4
FM 520 SF DG,4
CSE 62120 DWN,4
BKK 4315 KM,4
FK 5310 S,4
FK 8110 I,4
MM 8042 DS Homechef,4
BKK 2145,4
KL 8022 I,4
52460 HP,4
8650 D,4
Megalogic 24,4
KT 70,4
D 73 KT,4
D 60 K,4
D 81 HP,4
BMD 20,4
FM 532 SC,4
SE 8034,4
BKS 2935,4
B43 D 695 B,4
B49 B 970 A,4
B55 B 975 A,4
B55 OLED D 975 A,4
B65 A 860 B,4
B65 D 986 S,4
B65 B 880 B,4
B40 LB 5533,4
B49L 8752 5S,4
TM 5206,4
TKM 2940,4
BKK 2199,4
OIE 22300 X,3
BFM 430,3
BFC 210,3
AFM 24300,3
P 39,3
P 40,3
HBS 5970 CW,3
BM 9009 I,3
D3 3001 SY,3
BMA 5130,3
BMA 6103,3
3933,3
3906 EI,3
BMA 9100 I,3
D2 3001,3
660364 M,3
870465 M,3
970430 MB,3
670561 EGC,3
191572 EI,3
954210 MB,3
B 9426 NM,3
B 9460 NM,3
D 9585 NEX,3
B 9459 NMN,3
B 9490 NM,3
9570 NF,3
D 9485 NEXK,3
D6 7101 E,3
D1 5081 B,3
BK 9142 HJ,3
CM 8120 BMG,3
BK 8102 E,3
N 8125,3
BK 6081 L,3
BKK 2220 IN Dem Çelik,3
BKK 2212,3
BDE 6060,3
ADV 6510 EI,3
7063 MB,3
3216 J,3
7032 MB,3
BK 3315,3
DO-5964 C Floral,3
MC 5251 ExpertChef Pro,3
TSZ 5282 T,3
BKS 5590,3
CEG 5311 X,3
CEP 6464 X CaffeExperto,3
FM 410,3
BFE 310 LB,3
CSF 62010 FWL,3
FR 8284 FitFry,3
31245 WIFI PROSMART,3
61270,3
BKK 2500,3
323411,3
51811,3
CS Tridens 24,3
Eco Smart 30,3
BK 28 Y PRMX,3
D 70 HP,3
BMD 310 DS,3
BMD 2310,3
BMM 2020 I,3
BMF 30 QB,3
BKK 2167 RHB,3
AOMG 64160 DI,3
BOMD D 7520 DWI,3
FM 520,3
BOI 6020 S,3
YOCG 64135 D,3
SE 8036 I,3
BSS 4602 T,3
B32 A 550 B,3
B43 A 550 B,3
B40L 6760 5B,3
В43L 8752 5S,3
B55L 9785 5S,3
B40L 5845 4B,3
B49L 8740 5B,3
B49L 6652 5B,3
