year,id,educ,sex,race,income,natfare,health,satfin
2010.0,1070.0,18.0,1.0,1.0,12.0,3.0,1.0,2.0
2010.0,1074.0,17.0,1.0,1.0,12.0,2.0,2.0,2.0
2010.0,1076.0,16.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,1077.0,18.0,2.0,2.0,1.0,1.0,1.0,1.0
2010.0,1083.0,16.0,1.0,1.0,12.0,3.0,2.0,2.0
2010.0,1088.0,17.0,2.0,1.0,12.0,1.0,2.0,2.0
2010.0,1089.0,12.0,2.0,1.0,12.0,1.0,1.0,1.0
2010.0,1092.0,17.0,1.0,3.0,12.0,2.0,2.0,2.0
2010.0,1096.0,16.0,1.0,1.0,11.0,3.0,1.0,2.0
2010.0,1097.0,14.0,1.0,1.0,12.0,3.0,2.0,1.0
2010.0,1100.0,13.0,2.0,1.0,9.0,3.0,2.0,2.0
2010.0,1103.0,9.0,2.0,1.0,9.0,1.0,3.0,1.0
2010.0,1106.0,15.0,1.0,1.0,12.0,3.0,3.0,3.0
2010.0,1110.0,12.0,1.0,1.0,12.0,3.0,3.0,1.0
2010.0,1114.0,12.0,2.0,1.0,12.0,3.0,1.0,3.0
2010.0,1119.0,16.0,1.0,1.0,11.0,1.0,1.0,2.0
2010.0,1122.0,16.0,2.0,1.0,12.0,3.0,1.0,1.0
2010.0,1125.0,10.0,2.0,3.0,9.0,1.0,2.0,2.0
2010.0,1127.0,16.0,1.0,1.0,12.0,2.0,3.0,2.0
2010.0,1128.0,11.0,1.0,2.0,8.0,1.0,4.0,3.0
2010.0,1132.0,9.0,2.0,1.0,11.0,1.0,1.0,3.0
2010.0,1133.0,15.0,1.0,1.0,10.0,3.0,2.0,2.0
2010.0,1139.0,12.0,2.0,2.0,1.0,3.0,2.0,2.0
2010.0,1141.0,10.0,1.0,2.0,3.0,2.0,4.0,3.0
2010.0,1145.0,15.0,1.0,1.0,12.0,3.0,1.0,1.0
2010.0,1151.0,14.0,1.0,1.0,12.0,1.0,3.0,2.0
